ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (July 2018)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
,06,2,2,2,2,2,1,2,2,2,1*,2,2,1,2,2,2
,07,2,2,2,2,2,1,2,2,2,1*,2,2,1,2,2,2
,08,2,2,2,2,2,1,2,2,2,2*,2,2,1,2,2,2
,09,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,11,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,12,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,13,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,14,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,15,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,16,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3
,17,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2
,18,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,19,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,20,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,21,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,22,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Daily Max,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,3
2018-07-09,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,02,2,2,2,2,2,2,2,2*,2,2*,2,2,2,2,2,2
,03,2,2,2,2,2,2,2,2*,2,2*,2,2,2,2,2,2
,04,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2*,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2*,2,2,2,3,2,2
,11,2,2,2,2,2,2,2,2,2,2*,2,2,2,3,2,2
,12,2,2,2,2,2,2,2,2*,2,2*,2,2,2,4,3,3*
,13,2,2,2,2,2,2,2,2*,2,2*,2,3,2,4,3,3*
,14,2,2,2,2,2,2,2,2*,2,2*,2,3,2,4,3,3*
,15,2,2,2,3,2,2,2,2,2,3*,2,3,2,3,3,3*
,16,2,2,2,3,2,2,2,2,2,3*,2,3,2,3,3,3*
,17,2,2,2,2,2,2,2,2,2,2*,2,3,2,3,3,3*
,18,2,2,2,2,2,2,2,2,2,2*,2,2,2,3,3,3*
,19,2,2,2,2,2,2,2,2,2,2*,2,2,2,3,3,3
,20,2,2,2,2,2,2,2,2,2,2*,2,2,2,3,3,3
,21,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,22,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,23,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
,24,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2
,Daily Max,2,2,2,3,2,2,2,2,2,3,2,3,2,4,3,3
2018-07-10,01,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2
,02,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2
,03,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2
,04,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2
,05,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2
,06,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2
,07,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,11,2,3,3,2,3,2,2,2,2,2,2,3,2,3,3,3
,12,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3
,13,3,3,3*,3,3,3,3,3,3,3,3,3,3,3,3,3
,14,3,3,3*,3,3,3,3,3,3,3,3,4,3,4,3,3
,15,3,4,3*,3,3,3,3,3,3,3,3,4,3,4,4,4
,16,4,4,3*,4,3*,3,3,3,4,4,4,4,3,4,4,4
,17,4,3,3*,4,4*,3,3,3,4,4,4,4,3,4,4,4
,18,4,3,3,4,4,4,3,4,4,4,4,4,3,4,4,4
,19,3,3,3,4,4,3,3,3,4,4,3,4,3,4,4,4
,20,3,3,3,4,4,3,3,3,4,3,3,4,3,4,4,4
,21,3,3,3,3,4,3,3,3,4,3,3,4,3,4,4,4
,22,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3
,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,24,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,Daily Max,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4
2018-07-11,01,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,02,3,3,3,3,3,2,2,3,3,3*,2,3,1,3,3,3
,03,3,3,3,3,3,2,2,3,3,3*,2,3,1,3,2,3
,04,3,3,3,2,2,2,2,2,3,3,2,2,1,2,2,2
,05,3,2,3,2,2,2,2,2,3,3,2,2,1,2,2,3
,06,3,2,2,3,2,2,2,2,2,2,2,2,1,2,2,3
,07,3,2,2,3,2,2,2,2,2,2,2,2,1,2,2,3
,08,3,2,3,3,2,2,2,2,3,2,2,2,2,3,3,3
,09,3,3,3,3,3,2,2,2,3,2,2,3,2,4,3,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4
,11,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4
,12,3,3,4,3*,4,3,3,3,4,3,3,3*,3,5,4,4
,13,3,3*,4,4*,4,3,4,4,4,3,4,4*,3,5,4,4
,14,3,4*,4,4*,4,3,4,4,4,4,5,4*,3*,5,4,4
,15,4,4*,4,4*,4,4,4,6,5,5,5,4*,4*,5,4,4
,16,5,5,5,4,4,4,5,7,6,6,7,5,5*,6,5,5
,17,5,5,6,4,4,5,5,8,7,7,8,5,5,6,6,5
,18,5,5,6,4,4,4,5,8,6,7,7,5,5,5,6,5
,19,5,4,5,4,4,4,5,6,6,6,6,4,4,5,5,5
,20,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4
,21,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,22,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3
,23,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Daily Max,5,5,6,4,4,5,5,8,7,7,8,5,5,6,6,5
2018-07-12,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,03,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,11,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,12,2,2,2,3,2,2,2,2,2,2,2,2*,2,3,3,3
,13,2,2,2,3,2,2,2,3,3,3,2,2*,2,3,3,3
,14,2,2,2,3,2,2,2,3,3,3,2,2*,2,3,3,3
,15,2,2,2,2,2,2,2,2,3,3,2,2*,2,3,3,3
,16,2,2,2,2,2,2,2,3*,3,3,2,2*,2,3,3,3
,17,2,2,2,2,2,2,2,3*,3,3,2,2*,2,3,3,3
,18,2,2,2*,2,2,2,2,2,2,2,2,2*,2,3,3,3
,19,2,2,2*,2,2,2,2,2,2,2,2,2,2,3,3,2
,20,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Daily Max,2,2,2,3,2,2,2,3,3,3,2,2,2,3,3,3
2018-07-13,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,11,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,12,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,13,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,14,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,15,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,16,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,17,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Daily Max,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
2018-07-14,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,16,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
,18,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3
,19,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3
,20,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3
,21,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Daily Max,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3
2018-07-15,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,02,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2
,03,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1
,04,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1
,05,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1
,06,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,13,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,15,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,17,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,18,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2
